Date,VCI,TCI ,VHI,VHI (%),Severity Class
2020-10-15,0.36746988,0.282937882,0.325203881,33,Mild Drought
2020-10-31,0.237951807,0.434332903,0.336142355,34,Mild Drought
2020-11-16,0.15060241,0.590023456,0.370312933,37,Mild Drought
2020-12-02,0.204819277,0.717933758,0.461376517,46,No Drought
2020-12-18,0.43373494,0.727568034,0.580651487,58,No Drought
2021-01-01,0.671686747,0.926966607,0.799326677,80,No Drought
2021-01-17,0.710843373,0.797518873,0.754181123,75,No Drought
2021-02-02,0.801204819,0.889359268,0.845282044,85,No Drought
2021-02-18,0.840361446,0.789263662,0.814812554,81,No Drought
2021-03-06,0.707831325,0.638677217,0.673254271,67,No Drought
2021-03-22,0.295180723,0.558116334,0.426648528,43,No Drought
2021-04-07,0.15060241,0.508344238,0.329473324,33,Mild Drought
2021-04-23,0.123493976,0.417028231,0.270261103,27,Moderate Drought
2021-05-09,0.084337349,0.201458061,0.142897705,14,Severe Drought
2021-05-25,0.102409639,0.281503168,0.191956403,19,Severe Drought
2021-06-10,0.240963855,0.234114801,0.237539328,24,Moderate Drought
2021-06-26,0.334337349,0.413856197,0.374096773,37,Mild Drought
2021-07-12,0.439759036,0.350883378,0.395321207,40,Mild Drought
2021-07-28,0.524096386,0.428392273,0.476244329,48,No Drought
2021-08-13,0.53313253,0.440154835,0.486643682,49,No Drought
2021-08-29,0.61746988,0.401457292,0.509463586,51,No Drought
2021-09-14,0.668674699,0.377130213,0.522902456,52,No Drought
2021-09-30,0.496987952,0.440159998,0.468573975,47,No Drought
2021-10-16,0.427710843,0.395478496,0.41159467,41,No Drought
2021-11-01,0.246987952,0.541573858,0.394280905,39,Mild Drought
2021-11-17,0.156626506,0.611964953,0.384295729,38,Mild Drought
2021-12-03,0.325301205,0.677018498,0.501159851,50,No Drought
2021-12-19,0.454819277,0.862893961,0.658856619,66,No Drought
